((('201', '440'), ('129',)), 0.71875)
((('284', '24'), ('13',)), 0.6)
((('284', '43'), ('11',)), 0.9411764705882353)
((('201', '438'), ('17',)), 0.5666666666666667)
((('144', '19'), ('24',)), 0.5483870967741935)
((('144', '24'), ('19',)), 0.7727272727272727)
((('201', '283'), ('11',)), 0.8421052631578947)
((('283', '11'), ('201',)), 0.5161290322580645)
((('562', '155'), ('621',)), 0.7272727272727273)
((('621', '155'), ('562',)), 0.8)
((('337', '19'), ('338',)), 0.7272727272727273)
((('19', '440'), ('17',)), 0.5714285714285714)
((('159', '193'), ('215',)), 0.6521739130434783)
((('215', '193'), ('159',)), 0.625)
((('159', '215'), ('193',)), 0.7894736842105263)
((('395', '159'), ('19',)), 0.7272727272727273)
